Name,Depth,Role,Year
John S Sperry,1,Self,1959-
Martin H Zimmermann,0,Doctoral,1980-1984
Melvin T Tyree,0,Post-doctoral,1984-1989
Volker Stiller,2,Doctoral,???
Kim Kolb,2,Doctoral,???
William Pockman,2,Doctoral,???
Kate McKolloh,2,Doctoral,???
Jarmila Pittermann,2,Doctoral,???
Maggie C Christman,2,Doctoral,???
Erica von Allmen,2,Doctoral,???
Duncan D Smith,2,Doctoral,???
David M Love,2,Doctoral,2013-2018
Yujie Wang,2,Doctoral,2015-2019
Uwe Hacke,2,Post-doctoral,???
Martin D Venturas,2,Post-doctoral,2017-2019
YangYang Li,2,Visiting,2007-2008
Frederic Lens,2,Visiting,???
