Name,Depth,Role,Year
Melvin T Tyree,1,Self,1946-
Martin H Zimmermann,0,Visiting,1968-1969
Enid A C MacRobbie,0,Doctoral,1968-1972
Yuk-Ngai S Cheung,2,Post-doctoral,1974-1976
Gregor F Barclay,2,Post-doctoral,1978-1981
Mike A Dixon,2,Post-doctoral,1982-1985
John S Sperry,2,Post-doctoral,1985-1989
Shudong Yang,2,Post-doctoral,1988-1994
David S Ellsworth,2,Post-doctoral,1991-1994
Gerhard Zotz,2,Post-doctoral,1994-1995
Herve Cochard,2,Post-doctoral,1995-1997
Bouchra El Omari,2,Post-doctoral,2002-2004
Tancrede Almeras,2,Post-doctoral,2005-2006
Sandra Patino,2,Post-doctoral,2006-????
Helen Bramley,2,Post-doctoral,2007-????
Karen K Christensen-Dalsgaard,2,Post-doctoral,2007-????
Maria A Equiza,2,Post-doctoral,2007-????
Jing Cai,2,Doctoral,2007-????
Shan Li,2,Pre-doctoral,????-????
Feng Feng,2,Doctoral,????-????
Yujie Wang,2,Pre-doctoral,2012-2015
Dongmei Yang,2,Post-doctoral,????-????
